question,question_choice,gender_all,male,female,age_all,18-24,25-34,35-44,45-54,55+,18-20,21-24,U35,35+,U45,45+,55-64,65+,ageXgender_all,M 18-24,M 25-34,M 35-44,M 45-54,M 55+,M 18-20,M 21-24,M U35,M 35+,M U45,M 45+,M 55-64,M 65+,F 18-24,F 25-34,F 35-44,F 45-54,F 55+,F 18-20,F 21-24,F U35,F 35+,F U45,F 45+,F 55-64,F65+,state_all,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,region_all,Northeast,Midwest,South,West,income_all,"Under $5,000 per year","$5,000 to $9,999 per year","$10,000 to $14,999 per year","$15,000 to $19,999 per year","$20,000 to $24,999 per year","$25,000 to $29,999 per year","$30,000 to $34,999 per year","$35,000 to $39,999 per year","$40,000 to $44,999 per year","$45,000 to $49,999 per year","$50,000 to $54,999 per year","$55,000 to $59,999 per year","$60,000 to $69,999 per year","$70,000 to $79,999 per year","$80,000 to $99,999 per year","$100,000 to $149,999 per year","$150,000 and over",Don’t know,Prefer not to answer,segA_all,News Lovers,Daily Briefers,Casual Users,segB_all,Digitalist,Traditionalist,Half and Half,segC_all,Positive participator,Reactive participator,Passive consumer,segD_all,Engaged public,Not Engaged public
Trust most of the news I consume most of the time,Strongly Agree,274,157,117,274,25,51,45,38,115,9,16,76,198,121,153,62,53,274,15,28,26,28,60,4,11,43,115,69,89,36,24,10,24,19,10,54,5,5,33,83,52,65,25,29,274,7,3,5,1,34,4,2,,4,12,5,,4,10,7,4,2,5,1,,4,5,10,8,3,5,1,1,6,1,9,,27,4,,12,,2,17,,3,1,3,21,2,,8,5,,8,,274,60,67,81,66,274,15,12,10,13,11,15,14,8,7,8,14,5,10,15,25,20,27,11,34,274,133,88,53,263,76,73,114,274,107,75,92,274,72,202
Trust most of the news I consume most of the time,Agree,1205,599,606,1205,107,192,196,189,520,41,67,299,906,495,709,279,241,1205,57,86,100,106,249,20,37,143,455,243,355,137,112,50,106,96,83,271,21,29,156,450,252,354,142,129,1205,25,7,30,10,133,35,11,5,11,83,36,2,8,43,27,14,7,25,9,1,24,19,38,18,7,33,6,6,15,5,27,5,86,34,,57,2,22,65,4,16,1,23,73,7,2,34,18,2,32,2,1205,220,275,419,291,1205,31,40,56,62,68,59,54,53,49,52,69,38,61,75,100,100,79,38,120,1205,407,458,340,1166,351,339,476,1205,425,285,495,1205,219,986
Trust most of the news I consume most of the time,Disagree,514,288,226,514,75,94,100,62,183,32,43,169,345,269,244,94,89,514,42,46,64,37,99,22,20,88,200,152,136,50,50,34,47,36,25,83,11,23,81,145,117,108,44,39,514,6,,19,2,59,9,3,,3,44,14,,6,20,4,6,4,10,7,2,5,7,12,8,2,6,1,,5,2,14,4,30,7,2,19,9,8,29,3,9,2,14,52,5,,18,11,5,7,,514,90,89,207,128,514,25,17,24,25,26,29,17,28,23,18,29,13,19,24,35,42,18,22,78,514,111,170,232,482,123,146,213,514,176,120,218,514,66,447
Trust news in social media most of the time,Strongly disagree,588,347,241,588,46,97,101,80,263,12,34,143,445,244,344,139,125,588,31,51,62,49,154,9,23,82,265,144,203,86,69,15,46,39,31,109,3,12,61,180,100,141,53,56,588,9,4,24,5,66,12,6,1,3,46,19,,12,20,10,3,5,15,1,1,4,9,12,11,1,14,4,2,8,2,11,6,35,16,1,27,7,4,34,6,5,1,6,48,7,1,12,17,4,15,,588,106,120,200,163,588,14,18,21,29,29,38,21,34,34,21,30,19,23,31,48,50,27,12,91,588,186,206,196,555,172,174,210,588,161,138,289,588,117,471
Trust news in social media most of the time,Tend to disagree,791,382,409,791,105,140,140,107,299,48,58,246,546,386,406,161,138,791,53,60,79,60,130,25,28,113,270,192,190,72,59,53,80,61,47,168,23,30,133,276,194,215,89,79,791,12,3,21,8,100,17,4,4,6,60,18,,5,31,18,16,6,16,5,1,22,11,26,10,4,12,4,5,6,6,19,2,48,9,,31,6,16,40,,9,2,16,68,6,1,27,13,6,17,2,791,128,173,296,194,791,30,25,38,34,46,37,36,38,28,34,63,19,36,42,56,66,41,34,88,791,198,298,295,766,222,190,354,791,260,212,319,791,103,689
Trust news in social media most of the time,Neither agree nor disagree,701,299,402,701,90,126,134,98,252,36,54,216,485,350,351,136,116,701,47,44,60,45,104,19,28,90,208,150,149,59,45,44,82,74,53,149,17,27,126,276,200,202,78,71,701,18,,15,4,65,22,10,,4,47,27,2,3,31,14,7,6,8,12,5,13,17,24,10,5,13,4,2,10,4,18,4,41,26,2,20,6,9,36,4,14,1,16,47,7,1,18,9,2,17,2,701,136,147,265,153,701,36,23,35,37,45,39,37,22,25,30,28,20,37,49,39,49,25,33,92,701,139,228,333,618,166,201,251,701,201,114,386,701,72,629
Trust news in social media most of the time,Tend to agree,248,122,126,248,27,55,50,38,80,8,19,81,167,131,117,52,28,248,12,32,25,17,36,4,8,44,78,69,53,23,12,14,22,25,20,44,4,11,37,90,62,64,29,15,248,5,,7,1,27,4,3,2,4,20,2,,,7,8,,3,9,3,1,1,2,5,4,3,7,2,1,3,,10,1,28,8,,12,1,3,9,,6,,5,18,,1,7,3,,4,,248,55,51,94,49,248,14,8,15,16,12,12,14,9,4,11,14,10,16,12,16,24,11,12,18,248,68,98,82,236,59,79,98,248,112,48,89,248,36,213
Trust news in social media most of the time,Strongly agree,70,41,29,70,6,30,17,10,7,2,3,36,34,53,17,5,2,70,4,12,12,7,5,2,3,17,25,28,13,5,1,2,18,5,2,2,1,1,20,9,24,4,1,1,70,1,1,1,1,7,3,,,,3,,,,2,,,,3,1,,1,1,3,,1,1,,,2,1,1,1,8,,,5,,1,8,,,,1,8,,,3,1,,,,70,19,11,23,17,70,11,2,2,5,3,4,2,2,1,1,4,2,,5,5,4,6,2,9,70,33,11,27,63,8,23,31,70,36,18,16,70,12,58
Trust news in social media most of the time,Agree,318,163,155,318,32,85,67,47,87,10,22,117,201,184,134,57,30,318,16,45,36,25,41,5,11,61,102,97,66,28,13,16,40,30,23,46,5,11,56,99,86,69,29,17,318,6,1,8,2,34,6,3,2,4,23,2,,,9,8,,3,11,5,1,2,3,9,4,4,8,2,1,5,1,11,2,37,8,,17,1,4,17,,6,,6,25,,1,10,4,,4,,318,74,62,116,66,318,25,10,17,21,16,16,16,11,4,12,18,12,16,16,21,29,17,14,27,318,101,108,109,299,67,103,129,318,148,66,105,318,47,271
Trust news in social media most of the time,Disagree,1380,730,650,1380,151,237,241,187,562,60,92,389,991,630,750,300,262,1380,84,111,142,109,284,33,50,195,535,336,393,157,127,68,126,100,78,278,26,41,194,456,294,356,143,135,1380,21,7,45,13,166,29,10,5,8,106,37,,17,51,28,19,11,30,6,2,25,20,38,21,5,26,8,7,13,8,30,7,83,25,1,57,13,20,74,6,14,3,22,115,13,1,39,30,9,31,2,1380,234,293,496,357,1380,44,43,59,64,75,75,56,72,62,55,93,38,58,73,103,116,68,47,179,1380,384,504,491,1321,394,364,564,1380,421,350,608,1380,220,1160
