question,question_choice,gender_all,Male,Female,age_all,18-24,25-34,35-44,45-54,55-64,65+,ageXgender_all,M 18-24,M 25-34,M 35-44,M 45-54,M 55-64,M 65+,F 18-24,F 25-34,F 35-44,F 45-54,F 55-64,F65+,state_all,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,region_all,Northeast,Midwest,South,West,income_all,"Under $5,000 per year","$5,000 to $9,999 per year","$10,000 to $14,999 per year","$15,000 to $19,999 per year","$20,000 to $24,999 per year","$25,000 to $29,999 per year","$30,000 to $34,999 per year","$35,000 to $39,999 per year","$40,000 to $44,999 per year","$45,000 to $49,999 per year","$50,000 to $54,999 per year","$55,000 to $59,999 per year","$60,000 to $69,999 per year","$70,000 to $79,999 per year","$80,000 to $99,999 per year","$100,000 to $149,999 per year","$150,000 and over",Don’t know,Prefer not to answer,segA_all,News Lovers,Daily Briefers,Casual Users,segB_all,Digitalist,Traditionalist,Half and Half,segC_all,Positive participator,Reactive participator,Passive consumer,segD_all,Engaged public,Not Engaged public
"Concern about: The use of the term fake news (e.g. by politicians, others) to discredit news media they don’t like",Not at all concerned,310,188,122,310,17,52,63,39,72,66,310,10,36,42,23,42,35,8,17,21,16,30,31,310,4,1,19,4,27,6,2,1,2,28,8,,7,8,3,5,,9,4,2,4,7,9,7,1,7,1,3,2,2,6,1,24,7,,7,4,3,12,3,3,,9,27,2,,10,4,2,5,1,310,56,55,126,74,310,13,8,12,16,14,11,13,12,14,5,20,12,13,13,18,29,16,12,58,310,105,101,104,277,56,105,116,310,109,76,125,310,61,250
"Concern about: The use of the term fake news (e.g. by politicians, others) to discredit news media they don’t like",Not very concerned,381,207,174,381,42,76,60,49,82,72,381,28,43,38,27,41,31,15,33,23,22,41,41,381,10,2,11,5,44,13,3,1,4,31,9,,2,11,8,2,7,6,2,1,8,6,8,4,1,10,3,,9,3,10,4,18,9,,12,3,6,23,1,6,,2,31,3,,11,10,1,12,,381,64,72,139,106,381,18,14,16,18,30,21,16,9,13,14,17,8,23,23,30,34,12,8,56,381,72,135,174,359,77,115,166,381,107,80,194,381,44,337
"Concern about: The use of the term fake news (e.g. by politicians, others) to discredit news media they don’t like",Somewhat concerned,558,236,323,558,90,124,115,76,87,66,558,43,33,55,36,37,30,47,91,60,40,50,36,558,9,3,11,4,65,8,5,1,1,34,18,,6,33,12,8,4,16,9,3,8,6,12,5,4,4,5,1,9,6,14,5,32,15,1,26,3,2,32,3,7,2,15,44,3,,17,6,6,12,2,558,101,120,211,125,558,33,20,25,38,35,44,31,26,21,24,24,21,19,22,29,36,19,23,68,558,88,178,293,505,121,165,219,558,152,100,307,558,39,519
"Concern about: The use of the term fake news (e.g. by politicians, others) to discredit news media they don’t like",Very concerned,422,204,218,422,54,82,79,52,86,68,422,27,37,41,24,42,33,28,46,37,28,44,35,422,14,1,10,3,49,10,4,2,3,34,11,1,1,19,9,4,2,6,4,,8,6,11,2,1,10,3,2,3,1,12,,31,14,1,19,6,10,23,,8,1,9,27,6,2,6,6,,9,,422,79,89,156,98,422,21,12,28,14,17,26,17,20,20,21,29,16,18,35,22,25,22,22,37,422,81,160,181,399,109,117,173,422,139,98,185,422,40,383
"Concern about: The use of the term fake news (e.g. by politicians, others) to discredit news media they don’t like",Extremely concerned,727,357,370,727,70,112,125,117,167,136,727,40,50,61,69,82,56,31,62,64,48,85,80,727,8,1,18,3,80,20,9,2,6,49,19,1,5,20,18,8,6,13,4,2,12,15,31,17,7,16,3,4,5,2,17,3,55,14,1,30,4,13,37,4,9,1,9,59,6,1,24,19,3,14,1,727,142,166,245,174,727,20,22,30,35,39,29,33,37,22,34,48,13,39,44,64,69,42,29,79,727,279,267,181,698,264,166,268,727,263,176,288,727,156,571
"Concern about: The use of the term fake news (e.g. by politicians, others) to discredit news media they don’t like",Concerned (Very/Extremely),1149,561,588,1149,125,195,203,169,253,204,1149,66,87,103,93,124,89,59,108,101,77,129,115,1149,22,2,28,6,129,30,12,4,9,83,30,2,5,40,27,12,8,19,8,2,20,22,42,18,8,26,6,6,8,3,29,3,87,27,2,49,10,22,60,4,18,2,18,85,12,3,30,24,3,23,1,1149,221,255,401,272,1149,41,34,58,49,56,55,50,57,43,54,78,29,57,79,85,94,63,50,116,1149,360,427,363,1098,374,282,442,1149,403,274,473,1149,196,954
"Concern about: The use of the term fake news (e.g. by politicians, others) to discredit news media they don’t like",Not concerned,691,395,296,691,60,128,124,88,153,138,691,37,79,80,50,83,66,22,49,44,38,71,72,691,14,3,29,9,71,19,5,2,6,59,17,,8,18,11,6,7,15,6,3,12,13,17,12,2,17,3,3,11,4,15,5,42,16,,19,7,9,35,3,9,,11,58,5,,20,13,3,17,1,691,121,127,264,179,691,31,22,28,34,45,31,29,21,28,19,37,20,36,37,49,63,28,20,114,691,177,236,278,636,133,220,283,691,216,156,319,691,105,586
